Test 0:
81 --> 84
87 --> 67
76 --> 89
71 --> 81
84 --> 70
75 --> 65
89 --> 89
77 --> 72
67 --> 87
76 --> 84
81 --> 66
70 --> 65
75 --> 67
66 --> 74
78 --> 80
67 --> 80
83 --> 80
82 --> 75
70 --> 78
Test 1:
70 --> 80
89 --> 79
81 --> 86
84 --> 85
86 --> 74
89 --> 79
77 --> 86
87 --> 84
80 --> 65
76 --> 79
76 --> 89
74 --> 75
66 --> 74
69 --> 84
82 --> 69
69 --> 72
70 --> 69
82 --> 88
69 --> 72
75 --> 80
76 --> 88
83 --> 82
79 --> 83
82 --> 81
80 --> 75
67 --> 87
87 --> 74
75 --> 83
72 --> 76
88 --> 76
76 --> 89
72 --> 76
65 --> 69
73 --> 76
70 --> 69
84 --> 84
85 --> 76
70 --> 65
69 --> 72
Test 2:
81 --> 84
88 --> 81
68 --> 73
70 --> 74
71 --> 81
67 --> 66
68 --> 71
85 --> 76
70 --> 65
75 --> 67
84 --> 81
89 --> 79
73 --> 82
85 --> 76
87 --> 84
89 --> 72
84 --> 65
83 --> 82
69 --> 81
77 --> 79
78 --> 87
80 --> 78
75 --> 83
89 --> 79
72 --> 75
72 --> 89
70 --> 65
70 --> 86
70 --> 65
75 --> 67
84 --> 81
79 --> 66
67 --> 80
73 --> 77
76 --> 78
66 --> 71
77 --> 73
71 --> 81
82 --> 69
75 --> 67
66 --> 74
69 --> 84
